电影名称,导演,主演,评分,评价人数,quote,pic
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗,9.0,1736222人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
少年派的奇幻漂流,李安 Ang Lee,苏拉·沙玛,9.1,1482843人评价,瑰丽壮观、无人能及的冒险之旅。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
钢琴家,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪,9.3,745394人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,伊利亚·伍德,9.2,851865人评价,承前启后的史诗篇章。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
死亡诗社,彼得·威尔 Peter Weir,罗宾·威廉姆斯,9.2,873863人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,周星驰,9.0,1358589人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
何以为家,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿,9.1,1157256人评价,凝视卑弱生命，用电影改变命运。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2875749222.jpg
绿皮书,彼得·法雷里 Peter Farrelly,维果·莫腾森,8.9,1880733人评价,去除成见，需要勇气。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg
闻香识女人,马丁·布莱斯 Martin Brest,阿尔·帕西诺,9.1,1016653人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
大闹天宫,万籁鸣 Laiming Wan,邱岳峰,9.4,506444人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
黑客帝国,,,9.1,944350人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,伊利亚·伍德,9.1,954210人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg
罗马假日,威廉·惠勒 William Wyler,奥黛丽·赫本,9.1,1043732人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
